Query Number, LDF Time (ms), ZZ Time (ms), Sound & Complete, ZZ Server Calls
10316,12453,1196,true,9
10317,37243,75016,true,155
10318,67354,32091,true,5
10319,2865,757,true,1
1031,29359,53858,true,2
10320,156,155,true,0
10322,32652,57821,true,1
10323,31154,60132,true,2
10324,47230,53992,true,39
10326,451,489,true,1
10327,75202,101030,true,0
1032,59960,49109,true,4
10330,38468,8335,true,6
10331,37487,3242,true,1
10332,31224,22970,true,2
10335,21581,15347,true,2
10337,151,167,true,0
10338,141,181,true,0
10339,1751,1398,true,1
1033,2570,6154,true,0
10340,28368,18797,true,3
10341,5432,441,true,1
10343,21112,21265,true,0
10344,5160,530,true,4
10345,178240,188635,true,0
10346,1186,188,true,1

10174,95062,96075,true,0
10175,49519,56074,true,40
10176,251,227,true,1
10177,933,259,true,1
10179,201,279,true,0
1017,1947,518,true,1
10180,17427,9403,true,6
10181,308,330,true,0
10182,20132,5764,true,3
10183,2857,232,true,1
10184,310,327,true,0
10185,371,401,true,0
10186,878,190,true,1
10187,34043,33110,true,0
10188,22235,2689,true,1
1018,62113,55167,true,1
10190,1253,373,true,1
10191,216369,48969,true,31
10192,194,267,true,0
10193,141,192,true,0
10195,21334,2778,true,1
10196,14918,15417,true,3
10199,324,277,true,1
1019,46423,42379,true,2
101,4382,4399,true,0
10200,2047,2109,true,0
10201,191,153,true,1
10203,3708,371,true,1
10205,3658,3535,true,2
10207,22054,27873,true,0
10209,9702,686,true,1
1020,24232,41765,true,101
10210,203,186,true,1
10211,110624,21334,true,10
10212,35377,60035,true,0
10213,51484,4985,true,2
10214,142,181,true,0
10216,61957,109420,true,0
10218,33321,26573,true,2
10219,218556,48398,true,31
1021,3579,4064,true,0
10220,19176,1183,true,1
10221,58427,100794,true,0
10222,1737,951,true,1
10225,214491,24878,true,75
10226,6227,4735,true,1
10227,131,132,true,0
10229,3159,3643,true,0
1022,4684,5200,true,0
10230,217900,229429,true,0
10231,141,157,true,0
10232,202,285,true,0
10234,24112,4075,true,2
10235,23684,38570,true,95
10236,1107,393,true,1
10237,173891,52388,true,21
10238,49064,10576,true,7
1023,38432,11357,true,1
10240,96211,2540,true,2
10241,181207,9449,true,7
10242,1054,657,true,1
10243,22204,2671,true,1
10248,27991,849,true,1
10253,61571,62677,true,0
10254,20374,1425,true,1
10255,196,225,true,0
10256,2380,5418,true,0
10257,55402,54997,true,0
10258,133,179,true,0
10259,16755,17665,true,4
1025,270,282,true,0
10261,188,149,true,1
10263,62130,61979,true,0
10266,116105,5589,true,2
10268,48420,55139,true,40
1026,1201,449,true,1
10271,137673,20871,true,6
10273,28678,853,true,1
10274,318,367,true,1
10277,49311,56891,true,41
10279,258,416,true,0
1027,17222,1651,true,1
10280,3139,735,true,1
10281,207,298,true,0
10282,138,186,true,0
10283,202,277,true,0
10284,55699,56139,true,0
10285,16531,17096,true,0
10286,426,448,true,1
10287,22609,23790,true,5
10288,173408,52218,true,21
1028,191,282,true,0
10291,58365,100504,true,0
10292,100957,100667,true,0
10293,55164,4744,true,2
10295,3932,4198,true,0
10297,75216,74074,true,0
10299,20519,1433,true,1
102,68739,5544,true,4
10301,47689,55036,true,39
10302,23382,26302,true,19
10303,192,162,true,1
10304,132076,28592,true,19
10307,5814,9469,true,1
10308,91252,120944,true,0
10309,198,147,true,1
1030,10579,835,true,1
10310,16110,3390,true,3
10311,202,315,true,0
10313,270,284,true,0
10314,3848,4149,true,0
10315,19993,19927,true,0
10316,12233,1198,true,9
10317,36778,75252,true,155
10318,67540,32201,true,5
10319,2865,741,true,1
1031,29517,54312,true,2
10320,134,152,true,0
10322,32680,56920,true,1
10323,30622,59422,true,2
10324,47459,54176,true,39
10326,447,523,true,1
10327,75849,100891,true,0
1032,59940,49792,true,4
10330,38594,8412,true,6
10331,37976,3263,true,1
10332,31433,22592,true,2
10335,21457,15500,true,2
10337,144,177,true,0
10338,147,189,true,0
10339,1749,1378,true,1
1033,2602,6165,true,0
10340,28128,18705,true,3
10341,5473,434,true,1
10343,21268,21609,true,0
10344,5100,551,true,4
10345,177865,189314,true,0
10346,1137,180,true,1

10174,96238,94596,true,0
10175,50441,55588,true,40
10176,252,237,true,1
10177,919,263,true,1
10179,200,280,true,0
1017,1903,512,true,1
10180,17475,8975,true,6
10181,313,356,true,0
10182,20131,5904,true,3
10183,3021,226,true,1
10184,311,328,true,0
10185,379,408,true,0
10186,867,185,true,1
10187,33184,33297,true,0
10188,22326,2714,true,1
1018,62360,55755,true,1
10190,1265,366,true,1
10191,217707,48897,true,31
10192,191,289,true,0
10193,140,160,true,0
10195,21747,2625,true,1
10196,15051,15448,true,3
10199,323,299,true,1
1019,46204,43683,true,2
101,4398,4286,true,0
10200,2011,2036,true,0
10201,198,155,true,1
10203,3758,371,true,1
10205,3796,3379,true,2
10207,21869,27132,true,0
10209,9765,699,true,1
1020,24113,41800,true,101
10210,199,170,true,1
10211,110068,21535,true,10
10212,34884,61208,true,0
10213,51907,4713,true,2
10214,136,173,true,0
10216,62491,109644,true,0
10218,33308,26506,true,2
10219,217058,48210,true,31
1021,3579,4054,true,0
10220,19004,1280,true,1
10221,57877,100050,true,0
10222,1665,925,true,1
10225,214734,24856,true,75
10226,6209,4756,true,1
10227,131,133,true,0
10229,3096,3687,true,0
1022,4637,5055,true,0
10230,219252,231318,true,0
10231,141,158,true,0
10232,199,276,true,0
10234,24140,4017,true,2
10235,23333,38407,true,95
10236,1110,397,true,1
10237,174761,52059,true,21
10238,48462,10582,true,7
1023,38878,11553,true,1
10240,97130,2603,true,2
10241,179757,9303,true,7
10242,1086,662,true,1
10243,22277,2690,true,1
10248,27909,837,true,1
10253,62869,61710,true,0
10254,20732,1416,true,1
10255,202,237,true,0
10256,2350,5438,true,0
10257,54910,55107,true,0
10258,137,158,true,0
10259,16514,17442,true,4
1025,255,308,true,0
10261,190,146,true,1
10263,62259,62220,true,0
10266,116996,5579,true,2
10268,48740,55287,true,40
1026,1203,455,true,1
10271,137321,20922,true,6
10273,28056,836,true,1
10274,315,372,true,1
10277,50211,56993,true,41
10279,257,386,true,0
1027,17263,1699,true,1
10280,3351,757,true,1
10281,198,305,true,0
10282,142,175,true,0
10283,200,299,true,0
10284,55399,54985,true,0
10285,17057,16941,true,0
10286,434,444,true,1
10287,22502,23693,true,5
10288,174334,51903,true,21
1028,198,261,true,0
10291,58559,100830,true,0
10292,101706,99685,true,0
10293,55370,4755,true,2
10295,3932,4305,true,0
10297,74333,74821,true,0
10299,20508,1468,true,1
102,68955,5469,true,4
10301,48046,55048,true,39
10302,23244,26313,true,19
10303,191,155,true,1
10304,132357,28833,true,19
10307,5781,9211,true,1
10308,91483,121570,true,0
10309,193,160,true,1
1030,10519,830,true,1
10310,16064,3317,true,3
10311,202,286,true,0
10313,254,287,true,0
10314,3900,4124,true,0
10315,19775,19905,true,0
10316,12788,1206,true,9
10317,36987,75137,true,155
10318,68089,32175,true,5
10319,3076,767,true,1
1031,29654,53991,true,2
10320,136,147,true,0
10322,32572,57039,true,1
10323,30589,60567,true,2
10324,47591,54056,true,39
10326,445,514,true,1
10327,76155,101182,true,0
1032,59868,49242,true,4
10330,38685,8080,true,6
10331,36853,3334,true,1
10332,31241,22545,true,2
10335,21615,15265,true,2
10337,154,178,true,0
10338,154,163,true,0
10339,1691,1400,true,1
1033,2557,6118,true,0
10340,28372,18887,true,3
10341,5566,431,true,1
10343,21332,21250,true,0
10344,5076,543,true,4
10345,178153,190297,true,0
10346,1178,197,true,1
